question,category,answer
Enable activity completion,IT_Helpdesk,"This guide describes how to enable activity completion for a Moodle space.

Turning on activity tracking involves two stages - Enable completion tracking at  course level , and Add activity completion tracking to activities.

    Activity completion allows students and teachers to track progress through a course with an easy to see checklist.

    Activities can be marked complete manually or editors can set specific completion criteria that, when met, automatically mark the activity as complete.

    Students track their activity completion via check-boxes on the right-hand side of activities.

    Teachers track completion using the activity completion report listing participants against activities with a checkbox to indicate their current completion status.

     Activity completion can be used as a way of restricting access to an activity based on a student completing another activity.

Stage 1 - Enable completion tracking at course level

Step 1 - Click on the gear icon  to open the action menu.

Step 2 - Select 'Edit settings' in the menu.

 

Step 3 - Expand the 'Completion Tracking' section.

 

Step 4 - Select 'Yes' from the drop-down for 'Enable completion tracking'.

 

Step 5 - Click 'Save and display'.

 
Stage 2 - Add activity completion tracking to activities

Use one (or more) of the following methods to add activity completion. Only items that have had this added will have the checkbox on the course page and appear in the activity completion report.

Editing will need to be turned on for this step.
Add completion tracking to individual activities

You can use this process for existing items, and also when creating a new item (skip to point 3).
click “Turn Editing On” 

 

Step 1 - Click 'Edit' to the right of the activity or resource that you want to include in your activity completion report.

 

Step 2 - Click on 'Edit settings'.

Step 3 - Click on 'Activity Completion'.

 

Step 4 - Set the options for the activity to show as complete. The options are:

    'Students can manually mark the activity as completed' - students can check the activity completion box next to the activity to indicate that they have completed that task.

    'Show activity as complete when specific conditions are met' - users with editing rights can set conditions such as getting a passing grade, posting a certain number of discussions to a forum etc. Activities and resources may have specific options available. 

 

Step 5 - Click 'Save and return to course'.

 
Set completion criteria for multiple existing activities

Step 1 - Click on the gear icon to open the action menu.

 

Step 2 - Select 'Course completion' from the menu.

 

Step 3 - Select the 'Bulk edit activity completion' tab to set the activity completion criteria for existing activities and resources.

 

Step 4 - Check the box for the appropriate activity type(s) and click edit.

 

Step 5 - Set the activity completion criteria.

 

Step 6 - Click 'Save Changes'.

 
Set default completion criteria for future activities

Step 1 - Click on the gear icon to open the action menu.

 

Step 2 - Select 'Course completion' from the menu.

Step 3 - Select the 'Default activity completion' tab to set the activity completion criteria for items that are added in the future.

 

Step 4 - Check the box for the appropriate activity type(s).

 

Step 5 - Click 'Edit'.

 

Step 6 - Set the activity completion criteria.

 

Step 7 - Click 'Save Changes'.

 

 When setting criteria for multiple items, you will only see criteria common to all of them i.e. criteria will not be visible if they only relate to a subset of the items."
Facilitating multiple markers,IT_Helpdesk,"You can facilitate multiple markers by either using Group mode under Common module settings for Turnitin and Moodle assignments or Marking workflow for Moodle assignments.

We recommend using the Groups method, as the Marking workflow method is more complex to setup and requires additional steps to release the final grades and feedback to students.
Groups

Students must first be added to groups.

Step 1 - Open the assignment you want to edit, click on the :gear: icon and click on  edit settings

Step 2 - Set Group mode (under Common module settings) to Separate groups. You may also first try directly proceeding to step 5 as this setting should be the default already

Step 3 - Scroll down to Restrict access

Step 4 - Click on Add restriction and select Group

 

 

 

Step 5 - Select the group you wish to give exclusive access to

Step 6 - Click Save and return to course or Save and display.

 
Marking workflow

If you enable Marking workflow then marks will go through a series of workflow stages before being released to students. You can then use the Marking allocation feature to allocate markers to particular students.

Step 1 - When setting up your assignment, scroll down to Grade.

Step 2 - Set Use Marking workflow, and Use marking allocation to Yes.

Step 3 - Click Save and return to course or Save and display.

Step 4 - When setting up your assignment under the Grade settings, set Use Marking workflow, and Use marking allocation to Yes.

Step 5 - Click Save and return to the course or Save and display

Step 6 - Open the assignment you wish to adjust and select View all submissions.

Step 7 - Check the boxes alongside the students who you want to allocate to a specific marker. Scroll down to With selected… and select Set allocated marker and then click Go.

Then click OK.

The marker’s name then appears in the Marker report area."
Full-Time and Part-Time Masters Under the Same Folder,IT_Helpdesk,"As of now, since the script automating the creation of Moodle class folder does not separate part-time from full-time, the current solution would be to restrict student access by Sections, very much the same way the restrictions are applied to the Verifications and Results Sections

These restrictions allow you to include material into a Section without having to hide individual activities based on groups

Step 1- Click Turn Editing On to start editing

Step 2 - Go to the very bottom of the page and click Add Topics.

Step 3 - Add the number of Sections as per your requirement.

Step 4 - Edit and name the Section under General settings.

Step 5 - Click Restrict access and select Add restriction.

Step 6 - Select method of restriction (in this case, advisable to use Group).

Step 7 - Set your conditions.

    Leave the first condition as ‘Must’

    Pick which group will have access to this Section

To add multiple groups under one folder, click on Add Restriction. This will change the layout slightly.

With multiple groups, set the second condition to ‘Any’. This means that if the student belongs to any of the mentioned groups, they will have access to it, and you do not need to hide individual groups.

 

Once you save, it will look something like this. It will only be visible to students belonging to those groups.  Whatever documents or activities you put in here will only be seen by those groups.

 

Since part-time and full-time have different requirements, these two Sections can be separated as well for ease of record-keeping. You CANNOT duplicate Sections, but you can duplicate topics and activities.

Step 8 - Duplicating Verifications and Results.

Go to the topic which you wish to duplicate and click on Edit. There will be a :file_cabinet: Duplicate option.

 

A duplicate with the same topic name will appear but with a ‘(copy)’ at the back.

Turn editing off and go on with the rest of your set up."
Grade Assignment with Annotate PDF,IT_Helpdesk,"Teachers can highlight, write, type, add stamps, and post notes in a PDF document submitted by a student when Annotate PDF is enabled. They can use a mouse, or trackpad to make handwritten markings when using a computer or stylus, or a finger when grading on an iPad or other tablet.
Enable Annotate PDF option

Step 1 - On your main module page, click Turn editing on. The edit links will appear.

 

Step 2 - Click Edit next to the Assignment you wish to modify, and then pick Edit settings from the Edit drop-down menu. The Settings page for the assignment will appear.

 

Step 3 - On the settings page find Submission Types:

    Check the File Submissions box (required).

    Type .pdf in the Accepted file types box (recommended).

 

Step 4 - Find the Feedback Types heading and select the Annotate PDF checkbox.

 

Step 5 - Click Save and return to course, at the bottom of the page.

 
Use Annotate PDF:

Step 1 - Click on the assignment on your Moodle page to open it.

 

Step 2 - Under the summary of submissions and grading status, click Grade.

 

Submissions will open one at a time in an annotation window.

Step 3 - Select a tool from the annotation toolbar at the top of the window to mark the submission.

 

Step 4 - Enter the Grade and any overall Feedback Comments in the pane to the right of the annotation window. In addition to typing feedback, you can add files and links, or record short audio (microphone button) or video (camera button) clips.

 

For more details refer to Annotate and Grade Assignment

Step 5 - Click Save Changes to save as you go and Save and Show Next when you are ready to proceed to the next submission."
Grader Report - Hiding and releasing Grades / Feedback to Students,IT_Helpdesk,"This guidance relates to grading Moodle Assignments, Moodle Assignments with the Turnitin plugin enabled. There are different workflows to hide and release grades to students via Turnitin assignments and Quizzes.

To ensure that students receive their grades at the same time, the following guidance will explain how you can hide grades from student view while inputting grades and feedback, and how you can then release grades / feedback to students simultaneously.

When you are marking student assignments and have hidden the assignment via Setup in Grades ,it is important that you do not make any changes to the setting Notify students in the Assignment settings. If you change this to No at any stage in the marking process an automatic notification from Moodle will not be sent to students informing them of the release of their grades and feedback.
Marking Workflow

If you are using Marking Workflow you will still need to hide the assignment following the guidance below.

Please note that when you set the grades and feedback to Released within Marking Workflow an email notification will not be automatically sent to students. You will need to let students know that their grades and feedback are available by using either Quickmail or posting to the News Forum. Please read the guidance on Marking Workflow to find out more.

    Accessing the grades area

    Hide a grade item

    Hide the course total

    Hide a grade category

    Hide a grade from a particular student

    Releasing grades and feedback

    Releasing grades and feedback (anonymous marking)

    To set conditional release of a grade item or category, please refer to Conditional access.

 
Accessing the Grades area

The Grades area is where you can hide and release both grades and feedback.

Step 1 - Click on the :gear:  icon in the top right of the page and select :gear: Gradebook Setup

Step 2 - Click on the Setup tab, you will then see the tab displayed. 
Hide a grade item

This is where you can hide the grades for an individual assignment.

Step 1 - Click on the Edit link adjacent to / on the same row as the name of that grade item

Step 2 - Click on Hide :eye: 

Once a grade item is hidden it will be greyed out.

 
Hide the course total

You may wish to hide the course total if students could work out their hidden grades from the total.

Step 1 - Click on the Edit link adjacent to / on the same row as the Course total at the bottom of the list of grades.

Step 2 - Click on Hide :eye: 

Once a grade item is hidden it will be greyed out.

 
Hide a grade category

A module can have more than one grade category (e.g. Formative and Summative). You can hide a group of assignment grades/feedback within a specific category. Please note: assignments and other activities outside of the category will not be hidden.

Grade categories are identified with a folder icon and highlighted in grey.

Step 1- Select the Edit link adjacent / on the same row as the name of the category.

Step 2 - Click on :eye: Hide.
Hide a grade from a particular student

Step 1 - Click on the :gear:  icon and select :gear: Gradebook.

Step 2 - Click on the View tab(if this section is not already open) 

Step 3 - Click Turn editing on

Step 4 - Click on the :gear: icon above the grade item for the student activity need to be hidden

Step 5 - Tick the Enable box on the Hidden until section

Step 6 - Click Save changes  to complete the process
Releasing grades and feedback

Releasing grades and feedback generates an email to students to alert them to their released grades and feedback. Ensure that you have finished your marking and feedback before you undertake this task.

Step 1 - Click on Settings and select Gradebook setup to open up the Grades area.

Step 2 - Click on the Setup tab.

Step 3 - Click on the Edit link adjacent to the grade item and click Edit settings

Step 4 - Click Save changes  to complete the process

    If you have followed the steps above and students are still unable to see grades and feedback check to see if a member of staff has hidden the Grader Report from students. 

    To check the status of the Grader Report click on Course Edit settings. Scroll down to Appearance and Show Gradebook to students must be set to Yes: 

If you change the status of the Gradebook, scroll down to the bottom of the page and click Save changes.
Releasing grades and feedback (Anonymous Marking)

Step 1 - Click on :gear: icon and select Gradebook setup to open up the Grades area.

Step 2 - Click on the Setup tab.

Step 3 - Click on the Edit link adjacent to the grade item  and select :eye: Show.

This will make the feedback visible and will generate an email to students to alert them to their released grade and feedback.

Step 4 - Open the assignment from the Gradebook by clicking on the link to it.

Step 5 - Click View all submissions.

Step 6 - From the Grading action menu select Reveal student identities. This will populate the Grades into the Grader Report and generate an email to students that Grades and Feedback have been released.

Do not reveal identities until the grading is ready to be revealed to students as this option cannot be re-enabled.
Related articles"
Group Assignment Quickstart Guide,IT_Helpdesk,"Please ensure that all the students on your module are in a group before submissions are made. If you do not do this then one student’s assignment submission will become available to all students. All groups must be correct prior to the first submission. Changing group membership after one submission will result in assignments being deleted.

Please refer to our guidance on Adding Groups to your module for more information.

When using group assignments you need to set up and apply groupings in addition to groups. This is because group submissions can disappear if groups are used and a student is in one group and is subsequently added to another group. This setting is to be applied under step 7 of this guide.

What does the setting require all group members to submit mean?

    If set to No:

    All members of the group have the ability to submit a file on behalf of the group.

    All group members can replace the submitted file with a new one at any point up to the assignment deadline.

    Once the submission deadline is passed the submitted file is automatically assumed to have been agreed as the final one by each of the group members.

    If set to Yes:

    All members of the group have the ability to submit a file on behalf of the group.

    Each group member must click the Submit assignment button to confirm that this is the final version of the assignment as agreed with the group.

    Once a group member has clicked Submit assignment, they cannot change their mind and replace the submitted file with any other file even if the assignment deadline has not yet been reached.

    Group members who have not clicked Submit assignment can replace the submitted file with a new file. If the last member of the group to submit, changes the file submission and clicks Submit assignment, other members of the group will not be able to change it. The group will need to contact the lecturer or course officer to revert the assignment to Draft (see additional note below).

    The assignment is not deemed to be submitted until each of the group members has clicked the Submit assignment button.

    When one student has submitted, the other members of the group will be able to see who still has to submit.

 Click for more information on reverting an assignment to Draft status when ‘Require all group members submit’ is set to Yes

If the assignment is reverted to draft after it has been submitted, the submission status for each student in the group will revert to Draft but it is only the student whose record the lecturer clicked on in the grading action screen to revert the submission who needs to re-submit. The other students will have a Draft status but they will not be included in the list of students who need to submit. If the lecturer then reverts more students in the group, the status for all students in the group will still be Draft but only students whose submission status was clicked to revert the submission will need to re-submit, and not the others in the group. When all those students who need to re-submit have re-submitted, the status of the assignment in the gradebook will be displayed as Submitted for all members of the group.

Step 1- Create: Turn editing on. Open the section you would like to add an assignment in and choose Add an activity or resource.Select Assignment from the Activity list and and it will be added(and opened).

Step 2- General: In the General settings, provide a name and a description for your assignment.Check the box if you would like to Show the Description on the module page.If needed, upload the files you would like to attach to this assignment (i.e. assignment cover sheet).

Step 3- Availability:  In the Availability box, select the date the assignment will be available from and the deadline for submissions (Due date). 

We recommend that assignment deadlines are set between 9-5 Monday-Friday to ensure educational technology and course office support is available for students who experience problems submitting assignments.The Cut-off date is the date after the deadline that students can submit until. This is useful for managing late submissions. Please note that students who submit until the deadline can edit their assignment if the cut-off date has not yet been reached.The Remind me to grade by date appears in Module Events & Upcoming Events blocks for staff enrolled on a module to remind them of grading deadlines.

Step 4- Submission types & accepted file types: In the Submission types box, decide whether the submission will be online text or students will upload a file. Typically our assignments are File submissions so no change needs to be made.For a file submission assignment then indicate how many files students can submit from the Maximum number of uploaded files.Accepted file types can be restricted by selecting from a drop-down list. If the field is left empty, then all file types are accepted.

Step 5- Feedback types: In most cases, you will not need to change the settings in the Feedback types box.If you need to review these settings, please refer to the Feedback types of guidance.

Step 6- Submission settings: In the Submission settings box, select Yes in the Require students to click submit button only if you want all members of a group to click the Submit assignment button to confirm that this is the final version of the assignment as agreed with the group.

The setting Require that students accept the submission statement will be enabled by default on assignments. Please do not change this setting as it is important that students understand what is required of them in regards to Academic Integrity Statement prior to submitting an assignment.

Step 7- Group assignment settings: The Students submit in groups option should be to Yes, to create a group assignment.

    Require group to make a submissionSet this to Yes. When a student who is not in a group attempts to submit, Moodle will display a message “You’re not a member of any group; please contact your lecturer”, and the student will not be able to submit the assignment.

    Require all group members submitThis setting will only be enabled if you have ticked the “Require students click submit button” earlier.

If Yes is selected, then the assignment will not be classed as “submitted” until all members of the group have submitted.

    Grouping for student groups

This setting allows you to select a grouping for your assignment. If students are in more than one group on the module, or may be added to another group later, you will need to select the relevant grouping to manage the group assignment. For example, James Jones is in Project Group A and Lisa’s Personal Tutor Group on your module. If you don’t create an assignment grouping, James will have the option of submitting an assignment to two separate groups, Project Group A and Lisa’s Personal Tutor Group

If a particular grouping is selected here, then the gradebook will display any other groups and non-grouped students in the “default group”.

    If “none” is selected, then the gradebook will display the names of all the groups and put any non-grouped students into the “default group”.

 

Please refer to our guidance on Groups and Groupings for more information.

Step 8- Notifications : In most cases, you will not need to change the Notifications settings

Please refer to the Assignment – Individual guidance if you require a specific setting for this.

Step 9- Grade: In the Grade section, select the type of grade and the grading method. The most common settings are point and simple direct grading.

    If you need to use the more advance settings:

    Please refer to the guidance on how to use scales as grades, and Marking Record and Grades as grading methods.

    Please refer to the guidance on Facilitating multiple markers and anonymous marking if you need to set a process with several markers or blind marking.

    Due to the way that groups are managed in Moodle, it is not possible to have an anonymous group assignment as the group name displays in the assignment submission area. This means that lecturers who may have set up the groups can differentiate between the submissions or can go to the groups in Moodle to see the group members via Settings >Users > Groups.

Step 10- Common settings: In the Common module settings, you can decide if you want to show or hide your assignment using the Availability settings. You do not need to change the group mode, this is managed from Group assignment settings in step 7."
Groups in Moodle,IT_Helpdesk,"You can assign different group modes to activities within Moodle which will shape how that activity behaves. For groups to work correctly all students must be assigned to a group.

    Example: Applying a group mode under Common module settings within Assignments enables different markers to filter the submissions between groups. This means that the lecturer can view and mark the submissions in the group they are responsible for marking.

    Collaborative Activities: Within collaborative activities such as Forums or Wikis, the group mode under Common module settings can be used to engage students in group work (i.e each group has their own collaborative workspace).

    Assignment Tool: The assignment tool offers an option from Group assignment settings for students to submit one piece of work on behalf of their group and for you to assign the same mark and feedback to the entire group.

    Restricting Access: Groups can be used to define which group can access an activity or resource. If you want to restrict an activity or resource to ensure that only students in a group can access it, select Group under Restrict access when setting up the activity."
Groupings,IT_Helpdesk,"    Groupings are collections of groups. If a student is in more than one group, or you want a subset of groups to work on an activity, you will need to use Groupings for the Groups to work correctly on the activity.
        Example: If you had not set up Groupings in this scenario, Moodle would have no way of knowing which groups needed to be attached to the Forum. Joe Bloggs would have had access to two Forums one for Tutor Group 1 and one for Project Group B!
"
Groups Setting in Activities:,IT_Helpdesk,"    Reasons to Use Groups:
        Groups can be used to define how students work or collaborate in activity by choosing different group modes.
        Depending on which group mode you choose, activities will behave differently.
        Restrict access to a resource or activity.

    How to Apply Group Mode to Activities:
        Turn Editing On and Edit Settings: Navigate to the module homepage and Turn editing on. Click on Edit next to the activity that you want to apply groups to. Select Edit Settings from the drop-down menu that appears.
        Group Mode: Choose the appropriate Group mode from the drop-down list.
        Select Groups Within Activity: To review your groups, click into the relevant activity. On the page that appears there will be a drop-down menu. The menu will give the following options: All participants, Each group will be listed one after the other.

    How to Restrict Access to an Activity or Resource:
        Turn Editing On and Edit Settings: Navigate to module homepage and Turn editing on. Click on the Edit next to the resource/activity that you want to apply groups to. Select Edit Settings from the drop-down menu that appears.
        Add and Manage Your Restrictions: Scroll down the settings page to the Restrict access settings. Click Add restriction and select the Group option.
        Save Your Settings: Scroll to the end of the page and click Save and return to course.
"
How to create a group?,IT_Helpdesk,"Navigate to the course that you want in Moodle:

 

Step 1 - Click the Participants page.

 

Step 2 - In the Participants page, click  on the gear icon and select Groups.

Step 3 -  On the Groups page, click Create group. (Alternatively, you can click Auto-create groups and specify how you want all students in the class divided into groups.)

On the Create group page:

 

    Enter a Group name.

    Enter a Group description, if necessary.

If you wish, you can add an identifying picture for the group, which you can choose to Hide or display.

Step 4 - Click Save Changes.

 

You can also add or remove users; On the Groups page, click on the group you want to add or remove users from. Click Add/remove users.

 

Moodle implements a regular task to automatically suspend users from Moodle access because of overdue fees and withdraw from the module.

On the Add/remove users page:

    Select names from the Potential members list.

    Click Add to move them into the Group members list.

 "
View and export a group list or communicate with a group,IT_Helpdesk,"Step 1 - In the Navigation, for the relevant course click Participants. A list of all course participants displays.

Step 2 - From the filter drop-down list at the top of the page, select the group to display. A list of the group members displays.

Step 3 - Below the list, click Select all, and from the Choose drop-down list, select:

    Send a message to open a page where you can enter a message, remove group members from the recipients list, preview and (in the preview page) send the message.

Step 4 - Type out your message, and when ready, press send.

    Download as CSV to export the group list as a CSV file to your computer.

You can find the download list in your browser’s download list or your computer directory in Downloads (default), or anywhere you selected to save it."
How do I allow a single student to continue their existing quiz (exam) attempt?,IT_Helpdesk,"Moodle allows for individual user overrides and group overrides for quizzes. These overrides can be used to allow a different number of quiz attempts, as well as a different open/close date/time windows and a different time limit.

However, if you want the student’s second attempt to be a continuation of the first, you will need to change some overall Quiz Settings before you can accurately enter the override.  This could be necessary, for instance, to provide the student 15 more minutes to finish the midterm, because the student had lost internet connection at the very end of the 100-question test.

So the goal is only to basically to re-open the attempts so the student can finish. However, there isn’t re-open an quiz attempt in Moodle. BUT you can have the system build on that first attempt for a single student…and it’s basically the same.

To add a second attempt building on the previous for a single user or a group of users by utilizing an override, follow these steps."
How to add a second attempt for a single user/group of users by utilizing an override?,IT_Helpdesk,"Step 1 - Click on the activity you wish to apply changes to.

 

Step 2 -  Click the gear icon(top right of the page) and select Edit Settings.

Step 3 - Scroll down to the Grade section and change Attempts allowed from 1 to 2

 

Step 4 - Scroll down to the Question Behaviour section and click on Show more

 

Step 5 - Change the “Each attempt builds on the last” setting to Yes.

 

Step 6 - Click Save and Display.
Next:

Step 1 - Click on the gear icon again and select User overrides.

 

Step 2 - Click on Add User Override.

Step 3 - Under override user, select the student(s) you want to allow.

 

Step 4 - Edit the remaining settings.

 

    Require password – Require the individual with the override to enter a password to complete the quiz.

    Open the quiz & Close the quiz – Adjust the open and close date/time windows. Don’t forget to check to “Enable” button so that you can adjust these settings.

    Time limit – Change the time limit. Don’t forget to check to “Enable” button so that you can adjust this setting.

    Attempts allowed – Allow more (or less) attempts than the quiz defaults.Scroll down and adjust the necessary settings.

 

Step 5 - Click on Save.

 

    For a second attempt, you would change the “Attempts allowed” to “2.” If you are only allowing a short amount of time to complete the already begun exam, then you would also need to adjust the “Time limit” to the a shorter amount required to complete the exam.

    Don’t forget to double-check that the “Close the quiz” date/time has not already passed or you will need to adjust this setting as well. 

    If you do not alter one or more of these settings, the settings will remain at the original quiz defaults. For example, if the quiz is closed to all students because the quiz’s original close date/time has passed and you do not adjust the override’s close date/time, even if you give a specific student a second attempt, they will not be able to access the quiz."
How do I restrict access to items or activities to certain groups or students of the course?,IT_Helpdesk,"There are some modules that has two intakes starting in the same month ex.(062020) which will be in one course in Moodle. Therefor, you can differentiate between them by choosing the targeted groups from the filter in participants page as below:

 

There are many cases in which it is useful to restrict access to material or activities in Moodle.  

For example -  sharing information with graders or keeping extra material hidden which can be done by following the below steps:

Step 1 - Click on Turn editing on from top right gear 



Step 2 - Create or edit the resource or activity you want to limit access to.

 

Step 3 - Under Restrict Access, click Add restriction and Select “Group” and pick the group you want to have access to the item i.e Group A.

You can also combine a number of restrictions if you continue to click Add restriction.

Click on the eyeball next to your group so that the item will be hidden totally from users not in that group.

Step 4 - Save changes.  When you return to the course main page you will see an indication that the item is restricted.

 

 
Restricting Topics

It is possible to add a group restriction on a topic or week.  Follow the same procedure as above, but set the restriction on the entire topic.  You will need to leave the topic and all its contents visible, but Moodle will display a label indicating that access to the topic is restricted.  You do not need to adjust the permissions/restrictions for any of the items within the topic.  If the topic itself is restricted so will all the contents of the topic.
Different Intakes

One module folder may contain two or more intakes, which can then be found confusing when adding content and activities. Please note the enrollment process is automated by the system. In order to not confuse the materials and activities intended for different groups a solution is to utilise restrictions (see step 4 of article) so that the students from different intakes will be able to see materials meant for them while being in the same folder.

Important Tip -  If you restrict access to an entire section, all activities in that section will follow the restrictions set. That way, you do not have to set restrictions one by one for each activity."
How to add a sections and duplicate resources in Moodle,IT_Helpdesk,"The following article describes the steps for adding a new section(topic) within another section and allocating resources from preexisting sections.

Step 1 - In the upper right corner of the modules page, click “Turn editing on”

Step 2 - After clicking on Turn editing on, scroll down to the bottom of the page, then click on the Add topics.Write number of sections you need and click Add topics.

Step 3 - For editing name click on the pencil icon :pencil2:  next to the topic name, write new name and click on the enter on your laptop/PC keyboard.

Step 4 - Duplicate the topic : Click on the Edit drop down menu, from the menu click on the Duplicate. 

The duplication process would take time based on the resource size.
Moving a Resource/Activity

To move a resource, click and hold on the moving icon on the left side of the resource, you can drag and drop it in other topics."
How to change/increase assignment submission file size?,IT_Helpdesk,"If you want to change/increase assignment submission file size then, follow the steps below;
Part 1 

Step 1 - Click the :gear: gear icon on the top-right of the page and select edit settings

Step 2 - Click Edit on the assignment or activity that you want to amend then  click on Edit settings from the drop-down list.
Part 2

Step 1 - Scroll down until Submission types and click on it.

Step 2 - Click on the Maximum submission size drop-down to change the file size to be uploaded in this activity or assignment.

If you want to increase the maximum upload size limit which is currently by default 250 MB then you can change the setting in the course material upload setting, click here to know more.

Step 3 - Click Save and return to course or Save and display.

The maximum submission file size for Turnitin Assignment can’t increase more than 100MB as it is Turnitin limitation."
How to change/increase upload file size of course material?,IT_Helpdesk,"You can change/increase upload file size setting of course material to be uploaded, by following the steps below:

Step 1 - Click on the :gear:  icon found at the top right corner of the page.

Step 2 - Click on  :gear: Edit settings.

Step 3 - Scroll down until Files and uploads section.

Step 4 - Click on the Maximum upload size drop-down to specify the maximum file size to be uploaded in this course.

Step 5 - Click Save and display.

The maximum submission file size for Turnitin Assignment can’t increase more than 100MB as it is Turnitin limitation"
How to Create a Course in Moodle?,IT_Helpdesk,"A guide in Moodle is a complete training session with theory and practice. The theory helps to convey knowledge with the help of lessons containing text, images, and videos; hands-on activities such as quizzes (check out our How to Create a Moodle Quiz: Step-by-Step Guide) allow you to check how much the student has learned.
Creating a Lesson in Moodle

As an example, we’ll build a course on Workplace Safety rules and a lesson on Fire Safety. To continue, you’ll need to open a class-specific folder and get the source file with text so you can just copy and paste it in the sample lesson.

Step 1 - Open your Course in Moodle

From the course overview, open your class-specific folder.

 

 
How to Add a Topic to the Course?

Step 2 - When you open a class-specific folder on Moodle, on the top right corner of the page click on setting gear icon. A drop-down menu list will open and from this list select “Turn editing on”.

 

Step 3 - Scroll down and you will see an option to Add an activity or resource and Add topics. Click on Add topics it and a window will popup to enter a number of topics you want to add. For this example, we will add only 1 (one) topic and click Add topics.

 

Step 4 - A new topic will be created Topic 1, rename this to Fire Safety and then, in this section of topic click Add an activity or resources. From Add an activity or resources popup window, under the list of Activities look for Lesson, select this activity and click Add.

You will be redirected to a page for the configuration of this Lesson. We’ll need to set up four sections:

    General: Enter the name of the lesson and its description.

    Appearance: Configure the lesson design. Would you like learners to see a progress bar or demonstrate the lesson as a slideshow?

    Flow Control: Set up the rules for taking the lesson. For example, it’d be wise to allow learners to view the lesson on fire safety several times, but for an exam session, it’s better to give just one attempt.

    Grade: Determine the rules of assessment. Will you use points or a scale to evaluate the results? What is the passing grade? For the sample lesson, set four points as the passing grade as there are four test tasks.

Step 5 - Click Save and display.

 
How to Create a Question Page?

Step 6 - Our sample lesson starts with the question, What do you do if you smell smoke? To add it, click Add a question page in the Edit tab.

Step 7 - From the list of select a question type; select Multichoice for the sample and then, click Add a question page.

    Next, you will be redirected to the question page setup. Starting with question page title and content.

Page title
	

What to do if a fire starts

Page contents
	

Imagine it’s an ordinary day at the office. Suddenly, you smell smoke.

 

What do you do?

Step 8 - Now you have to provide an answer and responses for multiple choice. Define the award for the correct answer. You may just leave 1 point by default.

Answer 1
	

I’ll look around to find the nearest stairway, leave all my belongings, and run to the exit.

Response
	

Right. You didn’t panic and got out. Yet you managed to breathe in smoke, as you didn’t protect your nose and mouth while evacuating.

    Make sure there are no points given, as this answer is wrong.

Answer 2
	

I’ll pack up and go to the nearest exit.

Response
	

Wrong. When there’s smoke in the building, you must leave immediately. By wasting time on packing things, you may lose your chance to get out, as smoke and fire spread very quickly.

Step 9 - Click Save page.

    Your question page will be successfully added to the course.

 
How to Create a Content Page?

Step 10 - The content page is a building block for creating a lesson in Moodle. It may contain text, pictures, audio or video. You can click Add a content page in the beginning.

Step 11 - But in our case of this sample course, we first created question page after, we can create more pages by clicking on Add new page and from drop-down list select Add a content page.

    Below, you will also see a Content 1 (Content 2, Content 3, and so on) section. Using these fields, you can set up navigation within a lesson. Each Content is a button that forwards a learner to another page of the lesson. For instance, you can create buttons for every page of the lesson using the Jump option, so learners will be able to jump to a different page – next page, previous page, first page, last page, or any other page on the course. If you prefer closed navigation and don’t fill in the Content fields, then learners will have to study the pages one by one.

    For the sample course, we don’t need any extra navigation buttons except Next and Previous.

Step 12 - Create the Next button by entering the word, Next in the Content 1 description and choose to jump to the Next page on each new page you add, and Previous in the Content 2 description and choose to jump to Previous page on each new page you add.

 
How to Add More Content and Question Pages?

Step 13 - Create the rest of the pages using the lesson source file. By clicking on Add new page and from drop-down list select the type of page you want to add – content page, question page. etc. In the end, you should get the following structure:

 
"
